csúcsid;alcsúcsid;kapcsolat
m752;-1;m758,m759,
m752;0;m758,m759,
m752;1;m758,m759,
m752;2;m758,m759,
m752;3;m758,m759,
m752;4;m758,m759,
m752;5;m758,m759,
m753;-1;m758,m759,
m753;0;m758,m759,
m753;1;m758,m759,
m753;2;m758,m759,
m753;3;m758,m759,
m753;4;m758,m759,
m753;5;m758,m759,
m754;-1;m758,m759,
m754;0;m758,m759,
m754;1;m758,m759,
m754;2;m758,m759,
m754;3;m758,m759,
m754;4;m758,m759,
m754;5;m758,m759,
m755;-1;m758,m759,
m755;0;m758,m759,
m755;1;m758,m759,
m755;2;m758,m759,
m755;3;m758,m759,
m755;4;m758,m759,
m755;5;m758,m759,
m756;-1;m758,m759,
m756;0;m758,m759,
m756;1;m758,m759,
m756;2;m758,m759,
m756;3;m758,m759,
m756;4;m758,m759,
m756;5;m758,m759,
